Order_ID,Customer_ID,Gender,Age,City,Product,Category,Quantity,Price,Payment_Method,Order_Date,Customer_Segment,Discount,Rating,Total_Amount
1,8270,Female,36,Mumbai,Camera,Accessories,4,730,Debit Card,2022-02-25,Regular,16,1,2920
2,1860,Female,36,Kolkata,Shirt,Home Appliances,1,380,Cash,2022-11-18,Regular,19,1,380
3,6390,Unknown,58,Chennai,Mobile,Electronics,2,40553,Credit Card,2021-05-11,Regular,13,4,81106
4,6191,Female,58,Mumbai,Headphones,Electronics,4,23411,Net Banking,2024-10-20,New,7,2,93644
5,6734,Unknown,46,Kolkata,Tablet,Accessories,2,11843,Cash,2021-08-27,Premium,24,2,23686
6,7265,Unknown,60,Bangalore,Camera,Electronics,2,30790,Credit Card,2022-06-16,New,21,1,61580
7,1466,Male,50,Bangalore,Camera,Electronics,1,81465,Credit Card,2021-12-16,Premium,27,1,81465
8,5426,Female,34,Chennai,Shoes,Electronics,3,76256,Debit Card,2024-01-31,New,15,1,228768
9,6578,Unknown,55,Bangalore,TV,Fashion,2,16888,Credit Card,2023-11-28,Regular,8,2,33776
10,9322,Female,18,Hyderabad,Shoes,Home Appliances,3,56475,UPI,2021-09-03,New,29,1,169425
11,2685,Female,58,Chennai,Laptop,Electronics,2,18480,Credit Card,2024-01-30,Regular,17,4,36960
12,1769,Unknown,50,Delhi,Headphones,Electronics,3,59180,Net Banking,2023-01-29,Premium,21,1,177540
13,7949,Male,53,Pune,Camera,Electronics,3,40519,Debit Card,2022-02-16,Regular,15,2,121557
14,3433,Unknown,39,Hyderabad,Tablet,Electronics,4,71995,Net Banking,2022-11-28,New,10,4,287980
15,6311,Male,35,Mumbai,TV,Electronics,2,23690,Cash,2023-12-02,Premium,25,3,47380
16,6051,Unknown,34,Kolkata,Laptop,Accessories,1,20856,Cash,2021-09-13,Premium,22,4,20856
17,7420,Unknown,49,Kolkata,Headphones,Accessories,1,49686,Debit Card,2024-12-06,New,19,3,49686
18,2184,Male,37,Pune,TV,Fashion,1,55480,Cash,2022-11-04,Premium,26,3,55480
19,5555,Male,40,Pune,TV,Electronics,2,52913,Cash,2023-05-05,Premium,16,1,105826
20,4385,Female,45,Hyderabad,Laptop,Home Appliances,2,25165,Net Banking,2024-06-30,Premium,9,4,50330
21,7396,Unknown,63,Hyderabad,Shirt,Fashion,3,3388,Debit Card,2022-07-10,Premium,24,4,10164
22,9666,Female,43,Kolkata,Camera,Home Appliances,2,24743,Debit Card,2024-08-14,New,13,1,49486
23,3558,Female,24,Bangalore,Tablet,Electronics,3,81880,UPI,2024-01-17,Premium,14,4,245640
